MALES	ID	Birth_territory	Y_birth	X_birth	Established_territory	Y_Established	X_Established	Year establishment	First Winter	Secondary dispersal	
M	M-09-16	Ny5	6731608	366248	Ama1	6666064	444503	2006	2006/07	No	
M	G45-12	Skg	6653901.333	375851	Ama_2	6671731	447382	2011	2011/12	No	
M	M-09-17	Fur	6789434	511936	Ack	6665807	432812	2005	2005/06	No	
M	M-05-02	Fil	6631585	443491	Amu1	6777300	533935	2003	2003/04	No	
M	D-10-30	Ny5	6731608	366248	Amu2	6775367	550568	2007	2007/08	No	
M	D07-27	Julu3	6781369	315419	app0	6704387	435558	2005	2005/06	No	
M	D-05-14	Ock1	6769118	575138	asta	6775695	297745	2004	2004/05	No	
M	G19-12	Ama1	6669074	449985	asta2	6774597	296308	2011	2011/12	No	
M	D-01-18	Fre	6673454	464668	Atn	6863311	270513	1998	1998/99	No	
M	G69-10	Ulr2	6655473	482882	Aur1	6645793	299874	2010	2010/11	No	
M	G104-11	Kyn2	6747286	337318	Ksk	6596106	445007	2011	2011/12	No	
M	G50-12	Sjo	6773928	563005	Bjas	6750738	546780	2011	2011/12	No	
M	D-11-29	Gra1	6675343	364184	Bog1	6643061	366323	2007	2007/08	Yes	
M	G28-09	Jang3	6659808	406532	Bratt	6620950	434512	2009	2009/10	No	
M	G53-10	Sil1	6783805	502001.75	Bre2	6441693	319915	2008	2009/10	No	
M	D-11-26	Gra1	6675343	364184	Kyf1	6514531	315960	2007	2007/08	Yes	
M	M-02-08	Kop1	6851186	290471	DE2	6544700	313223	2001	2001/02	No	
M	D-04-14	arj	6644385	318127	DE3	6525059	310657	2003	2004/05	No	
M	G11-06	Ny5	6731608	366248	DE4	6526955	309254	2005	2005/06	No	
M	G28-07	Sil1	6783805	502001.75	DE5	6543143	308855	2007	2007/08	No	
M	G71-10	Ulr2	6655473	482882	DE6	6567162	309273	2011	2011/12	No	
M	G83-12	Sle	6800084	337942	Dig	6731255	482104	2011	2011/12	No	
M	M-03-06	Fur	6789434	511936	Dju1	6623183	328167	2002	2002/03	No	
M	G22-12	Lov2	6665126	464150	Dju3	6611083	315300	2010	2010/11	No	
M	G81-10	Gal	6823606	551330	Drag	6764730	491082	2011	2011/12	No	
M	G3-11	Klot	6640328	519680	Drev	6862840	360166	2011	2011/12	No	
M	G03-07	Ny5	6731608	366248	Eds	6543788	355993	2006	2006/07	No	
M	G111-10	DE5	6544572	308815	Eid	6655675	327111	2010	2010/11	No	
M	M-10-07	Jang4	6660418	403657	Far	6633611	549005	2009	2009/10	No	
M	G78-12	Klot	6640328	519680	Fna	6765558	411726	2011	2011/12	No	
M	D-10-70	Osd2	6838224	313338	Fja	6862661	408748	2010	2010/11	No	
M	M-09-04	Julu2	6663996	361527	Ful1	6816251	394575	2007	2007/08	No	
M	G51-12	Jang5	6675174	405450	Ful2	6824308	391854	2011	2011/12	No	
M	G1-03	Kop1	6851186	290471	Fur	6795239	511014	2000	2000/01	No	
M	G20-10	Jang4	6660418	403657	Gard1	6627539	404806	2010	2010/11	No	
M	G27-11	Sil1	6783805	502001.75	Gas	6629941	466681	2009	2010/11	No	
M	G1-02	Fre	6673454	464668	Gla1	6586523	358007	1999	1999/00	No	
M	G26-09	Ack	6678775	425503	Gla2	6588222	356011	2008	2008/09	No	
M	G27-12	Ful1	6814505	395268	Gla3	6597461	344965	2011	2011/12	No	
M	G114-11	Snd2	6663996	361527	Gora	6793068	395259	2011	2011/12	No	
M	M-06-03	Utt	6615969	534430	Gos	6734728	462357	2006	2006/07	No	
M	M-01-09	Hag2	6671494	446358	Gra	6836787	306080	2000	2000/01	No	
M	M-98-04	Le1	6726274	468020	Gran	6689447	495485	1999	1999/00	Yes	
M	M-06-11	Fur	6789434	511936	Gra1	6669893	370196	2004	2004/05	No	
M	G14-06	Has2	6544672	470220	Gra2	6666888	375411	2008	2008/09	No	
M	G13-10	app	6704600	427402	Gra3	6688628	372734	2009	2009/10	No	
M	G11-11	Ful1	6814505	395268	Gra4	6681767	375480	2011	2011/12	No	
M	G2-01	arj	6644385	318127	Grav	6652317	482008	1999	1999/00	No	
M	D-08-03	Kyn1	6748162	338976	Hack	6995396	428103	2007	2007/08	No	
M	M-04-01	Fur	6789434	511936	Hlg1	6686872	418194	2003	2003/04	No	
M	G39-07	Hlg1	6687929	418446	Hlg2	6693542	420650	2006	2006/07	Yes	
M	D-10-29	Sil1	6783805	502001.75	Hlg3	6706254	409611	2007	2008/09	No	
M	M-01-05	Hag2	6671494	446358	Has1	6540331	471938	1999	1999/00	Yes	
M	D-08-20	Julu3	6781369	315419	Has3	6543709	463234	2006	2007/08	No	
M	D-10-39	Has3	6545102	466348	Has4	6547387	468226	2009	2009/10	No	
M	G107-11	Ack	6678775	425503	Has5	6546449	467739	2010	2010/11	No	
M	G21-10	Jang4	6660418	403657	Hast	6736466	394465	2010	2010/11	No	
M	D-11-19	Fur	6789434	511936	Hav1	6903708	516650	2009	2009/10	No	
M	G21-12	Skra1	6859976	525593	Hav2	6905002	518374	2011	2011/12	No	
M	M-10-05	Klot	6640328	519680	Hed1	6617849	527286	2009	2009/10	No	
M	G66-10	Ama1	6669074	449985	Hed2	6611300	528689	2010	2010/11	No	
M	D-04-07	Ny5	6731608	366248	Henv	6962869	419276	2003	2003/04	No	
M	G37-10_	Gal	6823606	551330	Hom1	6787082	520804	2010	2010/11	Yes	
M	G79-11	Sil2	6783805	502002	Idr	6871830	392479	2010	2011/12	No	
M	M-04-04	Ny5	6731608	366248	Jang1	6657656	407461	2003	2003/04	Yes	
M	M-05-08	Hag2	6671494	446358	Jang3	6664760	408281	2005	2005/06	No	
M	D-10-25	Ny5	6731608	366248	Jang4	6660622	403584	2008	2008/09	No	
M	G6-12	Kyn2	6747286	337318	Jang6	6666427	405603	2010	2011/12	No	
