winter	year	nb_in_report	nb_in_fig1	social_status	territory	county	country	NA	X	Y	name_in_Olof_file	ID_M	ID_F	F	abreviation_pedigree	date_collaring_M	date_collaring_F	marked_date_M	Last_radio_contact_M	marked_date_F	Last_radio_contact_F	territory	ID_M	ID_F	F	abreviation_pedigree	Birth_territory_male	Birth_territory_female	Birth_date_male	birth_date_female	F_male	F_female	Birth_date_male_(Olle)	birth_date_female_(Olle)	Komment	Death_Causes	ID_of_the_dead_one	Management_decisions_	Turnover_during_the_winter	Year_of_established_pairing	Left	Repr_ngn_gang	repro(green_color)_	First_litter	digit_min	digit_max	First_repro_(yellow)	Pair(letterP)	Blood_(b)_	Radio_collar(red)	pair_intact_end_winter_	Immigrants_status	Line	remarks																																																									
2006/07	2006	4.3.11.	28	scent_marking_pair	Aamack	Varmland/Dalarna	S_	0607	6666064	444503	Aamack_1	M-09-16	M-06-09	0.2705	Ama1	2009-02-11	2006-02-13	2009-02-11	2009-02-13	2006-02-13	2007-03-10	Aamack_1	M-09-16	M-06-09	0.270508	Ama1	Ny5	Gra1	NA	2005	0.269531	0.267578	NA	NA	NA	0	0	0	0	2006	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2007/08	2007	4.3.12.	33	scent_marking_pair	Aamack	Varmland/Dalarna	S_	0708	6665206	450735	Aamack_1	M-09-16	M-06-09	0.2705	Ama1	2009-02-11	2008-02-07	2009-02-11	2009-02-13	2006-02-13	2007-03-10	Aamack_1	M-09-16	M-06-09	0.270508	Ama1	Ny5	Gra1	NA	2005	0.269531	0.267578	NA	NA	NA	0	0	0	0	2006	NA	1	0	NA	0	0	0	1	1	1	1																																																												
2008/09	2008	NA	19	pack	Aamack	NA	S	NA	6668721	449171	Aamack_1	M-09-16	M-06-09	0.2705	Ama1	2009-02-11	2008-02-07	2009-02-11	2009-02-13	2006-02-13	2007-03-10	Aamack_1	M-09-16	M-06-09	0.270508	Ama1	Ny5	Gra1	NA	2005	0.269531	0.267578	NA	NA	NA	0	0	0	0	2006	NA	1	1	1	5	5	1	0	1	1	1																																																												
2009/10	2009	NA	19	pack	Aamack	NA	S	NA	6671439	451793	Aamack_1	M-09-16	M-06-09	0.2705	Ama1	2009-02-11	2008-02-07	2009-02-11	2009-02-13	2006-02-13	2007-03-10	Aamack_1	M-09-16	M-06-09	0.270508	Ama1	Ny5	Gra1	NA	2005	0.269531	0.267578	NA	NA	NA	0	0	0	0	2006	NA	1	1	0	6	7	0	0	1	0	1																																																												
2010/11	2010	NA	18	pack	Aamack	NA	S	NA	6673942	453725	Aamack_1	M-09-16	M-06-09	0.2705	Ama1	2009-02-11	2008-02-07	2009-02-11	2009-02-13	2006-02-13	2007-03-10	Aamack_1	M-09-16	M-06-09	0.270508	Ama1	Ny5	Gra1	NA	2005	0.269531	0.267578	NA	NA	NA	0	0	0	0	2006	0	1	1	0	7	7	0	0	1	0	1			The_male_M-09-16_were_found_decomposed_June_2012_in_the_territory.																																																									
2011/12	2011	NA	54	scent_marking_pair	Aamack	Varmland/Dalarna	S	1112	6671731	447382	Aamack_2	G45-12	G44-12	0.2338	Ama_2	NA	NA	NA	NA	NA	NA	Aamack_2	G45-12	G44-12	0.2338	Ama_2	Sku	Klot	NA	NA	0.152176	0.299316	2010	NA	NA	0	0	0	0	2011	NA	0	0	NA	0	0	0	1	0	0	1	F2	Ky																																																										
2005/06	2005	4.3.11.	26	scent_marking_pair	Acksjon	Varmland	S_	0506	6665807	432812	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2006/07	2006	4.3.12.	29	scent_marking_pair	Acksjon	Varmland	S_	0607	6669592	425807	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	0	NA	0	0	0	1	1	0	1																																																												
2007/08	2007	NA	14	pack	Acksjon	NA	S	NA	6682187	428980	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	1	1	5	5	1	0	0	0	1																																																												
2008/09	2008	NA	18	pack	Acksjon	NA	S	NA	6680951	426935	Acksjon	M-09-17	G10-06	0.3059	Ack	2009-02-11	NA	2009-02-11	2009-02-11	NA	NA	Acksjon	M-09-17	G10-06	0.305908	Ack	Fur	Hlg1	NA	NA	0.1875	0.23877	NA	NA	NA	0	0	0	0	2005	NA	1	1	0	7	7	0	0	1	0	1																																																												
