;Sex_GPS;Territory_antonio;ID_M;ID_F;Birth_territory_M;Y_birth_M;X_birth_M;Established_territory_M;Y_Established_M;X_Established_M;Year.establishment_M;Birth_territory_F;Y_birth_F;X_birth_F;Established_territory_F;Y_Established_F;X_Established_F;Year.establishment_F
1;M;Grafjell_2001_w;M-01-09;M-01-10;Hag2;6671494;446358;Gra;6836787;306080;2000;Kop1;6851186;290471;Gra;6836787;306080;2000
2;M;Grafjell_2003_w;M-01-09;M-01-10;Hag2;6671494;446358;Gra;6836787;306080;2000;Kop1;6851186;290471;Gra;6836787;306080;2000
3;F;Tyngsjo_2002_w;M-00-06;M-02-04;Le1;6726274;468020;Tyn;6682579;431381;2000;Fre;6673454;464668;Tyn;6682579;431381;2000
4;M;Bograngen_2003_s;M-00-09;M-00-11;Fre;6673454;464668;Bog;6737321;367605;1997;Ny4b;6731608;366248;Bog;6737321;367605;1997
5;M;Bograngen_2003_w;M-00-09;M-00-11;Fre;6673454;464668;Bog;6737321;367605;1997;Ny4b;6731608;366248;Bog;6737321;367605;1997
6;M;Nyskoga_2004_w;M-00-07;M-00-08;Hag2;6671494;446358;Ny5;6710734;378304;1999;arj;6644385;318127;Ny1;6710734;378304;1999
7;M;Djurskog_2004_w;M-03-06;M-02-09;Fur;6789434;511936;Dju1;6623183;328167;2002;arj;6644385;318127;Dju1;6623183;328167;2002
8;M;Jangen_2004_w;M-04-04;M-04-05;Ny5;6731608;366248;Jang1;6657656;407461;2003;Fil;6631585;443491;Jang1;6657656;407461;2003
9;M;Grasmark_2007_w;M-06-11;M-06-10;Fur;6789434;511936;Gra1;6669893;370196;2004;Gra;6818716;307202;Gra1;6669893;370196;2004
10;M;Kloten_2008_w;M-09-10;G3-03;arj;6644385;318127;Ock1;6759246;568812;2000;Gh;6941388;483751;Ock1;6759246;568812;2000
11;M;Fulufjallet_2009_w;M-09-04;M-09-06;Julu2;6663996;361527;Ful1;6816251;394575;2007;Gra1;6675343;364184;Ful1;6816251;394575;2007
12;M;Fulufjallet_2010_w;M-09-04;M-09-06;Julu2;6663996;361527;Ful1;6816251;394575;2007;Gra1;6675343;364184;Ful1;6816251;394575;2007
13;M;Fulufjallet_2010_s;M-09-04;M-09-06;Julu2;6663996;361527;Ful1;6816251;394575;2007;Gra1;6675343;364184;Ful1;6816251;394575;2007
14;M;Tenskog_2010_w;M-10-02;M-10-01;Amu2;6776631;547568;Ten2;6827007;494753;2008;Vox;6784708;535239;Ten_1;6834829;510985;2006
15;M;Tandsjon_2012_w;M-11-03;M-09-09;Lok1;6609179;475183;Tand;6840055;461438;2009;Ful1;6814505;395268;Tand;6840055;461438;2009
