,Sex_GPS,Territory_antonio,ID_F,F_human_1,F_humanlands_1,F_agri_1,F_forest_1,F_roadens_sec1,F_mainroad_1,F_bear_1,F_roadbuild_1,F_build_1,ID_M,M_human_1,M_humanlands_1,M_agri_1,M_forest_1,M_roadens_sec1,M_mainroad_1,M_bear_1,M_roadbuild_1,M_build_1
1,M,Grafjell_2001_W,M-01-10,0.874847098,0.00086032,0.013925926,0.815277024,0.393037857,0.155147583,0.078515466,10.3127846,1.179077653,M-01-09,7.273351013,0.001187451,0.005063514,0.783356819,0.877890873,0.249694467,0.072548603,10.67600401,1.897873108
2,M,Grafjell_2003_W,M-01-10,0.874847098,0.00086032,0.013925926,0.815277024,0.393037857,0.155147583,0.078515466,10.3127846,1.179077653,M-01-09,7.273351013,0.001187451,0.005063514,0.783356819,0.877890873,0.249694467,0.072548603,10.67600401,1.897873108
3,F,Tyngsjo_2002_W,M-02-04,10.96725126,0.003491149,0.003832959,0.803240346,0.9465082,0.239468361,0.089334215,13.68717636,1.932149629,M-00-06,7.461246936,0.005967322,0.018968778,0.814553106,0.980263566,0.232726241,0.353807318,25.76552143,2.075645087
4,M,Bograngen_2003_S,M-00-11,4.407306567,0.002811863,0.011471427,0.839792499,0.800009959,0.233754244,0.10939096,10.87348227,1.538557046,M-00-09,10.96725126,0.003491149,0.003832959,0.803240346,0.9465082,0.239468361,0.089334215,13.68717636,1.932149629
5,M,Bograngen_2003_W,M-00-11,4.407306567,0.002811863,0.011471427,0.839792499,0.800009959,0.233754244,0.10939096,10.87348227,1.538557046,M-00-09,10.96725126,0.003491149,0.003832959,0.803240346,0.9465082,0.239468361,0.089334215,13.68717636,1.932149629
6,M,Nyskoga_2004_W,M-00-08,13.48856411,0.00268287,0.053019388,0.789636187,0.624153712,0.352791268,0.008201051,14.27717896,1.237132494,M-00-07,7.273351013,0.001187451,0.005063514,0.783356819,0.877890873,0.249694467,0.072548603,10.67600401,1.897873108
7,M,Djurskog_2004_W,M-02-09,13.48856411,0.00268287,0.053019388,0.789636187,0.624153712,0.352791268,0.008201051,14.27717896,1.237132494,M-03-06,4.701831905,0.005791964,0.016465711,0.804738142,0.959190592,0.158233356,0.866972141,19.41678211,2.096812186
8,M,Jangen_2004_W,M-04-05,9.814382759,0.011283258,0.020674699,0.812708725,1.006877257,0.307503868,0.019069595,36.68504859,2.179434653,M-04-04,4.407306567,0.002811863,0.011471427,0.839792499,0.800009959,0.233754244,0.10939096,10.87348227,1.538557046
9,M,Grasmark_2007_W,M-06-10,1.547787672,0.000102766,0.008675078,0.774318537,0.549134609,0.108358803,0.101442337,4.746000447,1.106169522,M-06-11,4.701831905,0.005791964,0.016465711,0.804738142,0.959190592,0.158233356,0.866972141,19.41678211,2.096812186
10,M,Kloten_2008_W,M-05-07,8.613731608,0.001485105,0.041838615,0.824768576,0.905619629,0.295223993,0.050140009,9.073719523,1.201784451,M-09-18,21.21018259,0.012436428,0.33131507,0.56900001,0.902592673,0.452048936,3.20E-05,74.27405454,2.143607049
11,M,Fulufjallet_2009_W,M-09-06,9.80992876,0.002520621,0.014281317,0.874671486,1.006324476,0.281056366,0.033576279,14.99999635,1.514209726,M-09-04,11.41076175,0.001846435,0.017280279,0.862839051,0.974507516,0.311442818,0.02481388,14.04190129,1.538655391
12,M,Fulufjallet_2010_W,M-09-06,9.80992876,0.002520621,0.014281317,0.874671486,1.006324476,0.281056366,0.033576279,14.99999635,1.514209726,M-09-04,11.41076175,0.001846435,0.017280279,0.862839051,0.974507516,0.311442818,0.02481388,14.04190129,1.538655391
13,M,Fulufjallet_2010_S,M-09-06,9.80992876,0.002520621,0.014281317,0.874671486,1.006324476,0.281056366,0.033576279,14.99999635,1.514209726,M-09-04,11.41076175,0.001846435,0.017280279,0.862839051,0.974507516,0.311442818,0.02481388,14.04190129,1.538655391
14,M,Tenskog_2010_W,M-10-01,5.464623146,0.001747901,0.008771173,0.801834918,0.996396329,0.159795069,0.754330572,12.39814365,1.857762557,M-10-02,9.74992133,0.001214912,0.005546591,0.803460165,1.000039604,0.167194632,0.652680661,11.30754037,1.923280508
